Year,Discharge,Annual_Sediment_Load_tons_year,Rainfall,Days_in_Year,Annual_Rainfall_mm,Annual_Sediment_Yield_tons_ha
1990,31.485397260273974,1266302.268864,3.3836712328767122,365,1235.04,9.083947409354376
1991,31.877561643835616,1224544.979736,3.3892054794520545,365,1237.06,8.784397272137733
1992,29.893907103825136,1029092.71392,3.8335519125683057,366,1403.08,7.38230067374462
1993,33.519561643835615,1210983.956496,3.779890410958904,365,1379.66,8.68711590025825
1994,38.467342465753426,1552775.468472,4.146082191780822,365,1513.3200000000002,11.13899188286944
1995,31.645315068493154,1112276.4719760001,3.3866849315068497,365,1236.14,7.9790277760114785
1996,53.482978142076504,2119169.1938400003,3.7781967213114753,366,1382.82,15.202074561262556
1997,49.366383561643836,1702345.910904,3.6763835616438354,365,1341.8799999999999,12.211950580373028
1998,28.94267585100548,995473.4261311018,3.656821917808219,365,1334.74,7.141129312274762
1999,25.991953341673973,805678.1330943386,3.727287671232877,365,1360.46,5.77961358030372
2000,34.3945678906694,1270668.817958075,3.949890710382514,366,1445.66,9.115271290947454
2001,31.65183421790685,1241302.3166112313,3.820109589041096,365,1394.34,8.904607723179565
2002,30.911883430942463,1100796.3186510992,3.280493150684932,365,1197.38,7.896673734943323
2003,40.34914255157534,1581067.7595059515,3.407342465753425,365,1243.68,11.341949494303813
2004,24.128987698245904,753881.5196842636,3.310983606557377,366,1211.82,5.408045334894287
2005,33.410684549169865,1164045.4881094762,3.7490410958904112,365,1368.4,8.350398049565825
2006,41.94666726922192,1701880.0294727215,4.471835616438356,365,1632.2199999999998,12.20860853280288
2007,44.285254628742464,1757163.8174392877,4.055353424657534,365,1480.204,12.605192377613255
2008,46.90370829370765,1961803.7548215336,3.841928961748634,366,1406.146,14.07319766729938
2009,35.47426095918904,1530303.4106273288,3.8035068493150685,365,1388.28,10.977786302922015
2010,44.0439394082274,1850192.8007794244,4.5490958904109595,365,1660.4200000000003,13.272545199278511
2011,41.08318383420822,1670118.7959146071,3.9166575342465753,365,1429.58,11.980766111295603
2012,43.97060727996175,1733208.7443917866,3.6435628415300547,366,1333.544,12.433348238104639
2013,48.00428068198356,1929482.9702531535,4.124328767123288,365,1505.38,13.841341250022621
2014,66.62222497724383,2743111.273461028,4.039671232876713,365,1474.4800000000002,19.677986179777818
2015,50.22891403593699,1911841.5820407697,4.518520547945205,365,1649.26,13.7147889672939
2016,58.67961099593989,2169582.543982623,3.657814207650273,366,1338.76,15.563719827708917
2017,51.050100368799995,2006508.5320226212,3.8530958904109593,365,1406.38,14.393891908340182
2018,61.11494816384109,2467514.340820793,3.789972602739726,365,1383.34,17.700963707466233
2019,70.0757905425589,2955782.4083068734,3.872931506849315,365,1413.62,21.20360407680684
2020,84.21584617390437,3660937.6708196797,4.0307650273224045,366,1475.26,26.262106677329122
